en,tl,category,level
sweet,matamis,adjective,1
big,malaki,adjective,1
small,maliit,adjective,1
good,mabuti,adjective,1
bad,masama,adjective,1
beautiful,maganda,adjective,1
ugly,pangit,adjective,1
new,bago,adjective,1
old,luma,adjective,1
hot,mainit,adjective,1
cold,malamig,adjective,1
happy,masaya,adjective,1
sad,malungkot,adjective,1
tall,matangkad,adjective,1
short,maikli,adjective,1
far,malayo,adjective,1
near,malapit,adjective,1
wide,malapad,adjective,1
narrow,makitid,adjective,1
thick,makapal,adjective,1
thin,manipis,adjective,1
heavy,mabigat,adjective,1
light,magaan,adjective,1
red,pula,adjective,1
blue,asul,adjective,1
green,berde,adjective,1
yellow,dilaw,adjective,1
black,itim,adjective,1
white,puti,adjective,1
brown,kayumanggi,adjective,1
purple,lila,adjective,1
orange,kahel,adjective,1
gray,kulay-abo,adjective,1
pink,rosas,adjective,1
dark,madilim,adjective,1
bright,maliwanag,adjective,1
shiny,makintab,adjective,1
dull,mapurol,adjective,1
loud,malakas,adjective,1
quiet,tahimik,adjective,1
clean,malinis,adjective,2
dirty,marumi,adjective,2
expensive,mahal,adjective,2
cheap,mura,adjective,2
easy,madali,adjective,2
difficult,mahirap,adjective,2
fast,mabilis,adjective,2
slow,mabagal,adjective,2
strong,malakas,adjective,2
weak,mahina,adjective,2
young,bata,adjective,2
tired,pagod,adjective,2
hungry,gutom,adjective,2
thirsty,uhaw,adjective,2
soft,malambot,adjective,2
hard,matigas,adjective,2
smooth,makinis,adjective,2
rough,magaspang,adjective,2
dry,tuyo,adjective,2
wet,basa,adjective,2
sharp,matalas,adjective,2
blunt,mapurol,adjective,2
straight,tuwid,adjective,2
crooked,baluktot,adjective,2
sour,maasim,adjective,2
bitter,mapait,adjective,2
salty,maalat,adjective,2
spicy,maanghang,adjective,2
bland,matabang,adjective,2
tasty,masarap,adjective,2
delicious,napakasarap,adjective,2
ripe,hinog,adjective,2
unripe,hilaw,adjective,2
fresh,sariwa,adjective,2
stale,luma,adjective,2
raw,hilaw,adjective,2
cooked,luto,adjective,2
empty,walang laman,adjective,2
full,puno,adjective,2
open,bukas,adjective,2
closed,sarado,adjective,2
early,maaga,adjective,2
late,huli,adjective,2
rich,mayaman,adjective,3
